case_id,problem,instance,method,initialization_seed,budget_multiplier,objective_evaluation_index,optimizer_iteration_index,objective_value,best_objective_so_far,cumulative_runtime_seconds
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,193,193,179232319.434,161766626.332,188.86663603782654
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,194,194,170098404.179,161766626.332,189.84525728225708
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,195,195,177759658.572,161766626.332,190.82817029953003
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,196,196,168941798.484,161766626.332,191.83421730995178
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,197,197,175577637.144,161766626.332,192.80973434448242
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,198,198,163511702.078,161766626.332,193.77812719345093
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,199,199,172923156.985,161766626.332,194.74915719032288
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,200,200,172599348.218,161766626.332,195.72419929504395
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,1,1,181390781.302,181390781.302,1.0676279067993164
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,2,2,181673468.996,181390781.302,2.1488497257232666
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,3,3,178383209.612,178383209.612,3.1231517791748047
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,4,4,182907325.569,178383209.612,4.125781774520874
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,5,5,182727929.824,178383209.612,5.1051576137542725
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,6,6,187603483.215,178383209.612,6.074020624160767
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,7,7,194441195.842,178383209.612,7.068553686141968
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,8,8,182486361.797,178383209.612,8.040366888046265
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,9,9,183049148.312,178383209.612,9.035881042480469
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,10,10,185122741.469,178383209.612,10.021464824676514
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,11,11,182728765.888,178383209.612,10.985639095306396
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,12,12,178293487.493,178293487.493,11.954627275466919
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,13,13,184800324.777,178293487.493,12.941238403320312
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,14,14,175776708.49,175776708.49,13.917200326919556
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,15,15,187288133.283,175776708.49,14.909000396728516
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,16,16,186004773.158,175776708.49,15.880220651626587
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,17,17,185319964.531,175776708.49,16.849612712860107
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,18,18,179729283.189,175776708.49,17.825052499771118
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,19,19,178818882.973,175776708.49,18.81855535507202
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,20,20,179605537.667,175776708.49,19.78854465484619
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,21,21,181801216.397,175776708.49,20.78229570388794
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,22,22,177950080.574,175776708.49,21.7881076335907
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,23,23,182724695.126,175776708.49,22.766191482543945
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,24,24,182168536.608,175776708.49,23.742060661315918
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,25,25,185285097.964,175776708.49,24.726625680923462
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,4409,1,26,26,190030940.415,175776708.49,25.700470685958862
